sales_id,seller_id,product_id,price,is_negotiable,date_post
1,1,16,164790000,True,2022-06-14
2,1,21,221810000,True,2022-02-24
3,1,48,214170000,True,2022-03-15
4,2,33,202420000,True,2022-05-27
5,2,48,214360000,True,2022-02-05
6,2,29,160840000,True,2022-01-02
7,3,47,195250000,True,2022-01-11
8,4,2,161730000,True,2022-04-29
9,4,12,253660000,True,2022-02-06
10,5,30,170730000,True,2022-02-22
11,5,44,194440000,True,2022-03-27
12,6,10,223130000,True,2022-02-28
13,7,23,181600000,True,2022-04-24
14,7,17,171540000,True,2022-02-09
15,8,45,214810000,True,2022-01-22
16,8,43,184840000,True,2022-06-03
17,9,29,160340000,True,2022-02-06
18,9,11,243650000,True,2022-05-08
19,10,42,247150000,True,2022-06-15
20,11,17,171810000,True,2022-05-02
21,11,12,252410000,True,2022-04-16
22,12,21,221530000,True,2022-01-31
23,12,6,212460000,True,2022-04-08
24,13,7,193150000,True,2022-05-25
25,14,21,221770000,True,2022-05-02
26,14,46,184090000,True,2022-02-23
27,15,1,151170000,True,2022-02-05
28,15,26,130140000,True,2022-01-11
29,15,40,216870000,True,2022-06-13
30,16,39,207220000,True,2022-02-23
31,17,47,195910000,True,2022-05-30
32,17,5,201970000,True,2022-02-05
33,18,20,201320000,True,2022-03-22
34,18,45,214310000,True,2022-06-03
35,18,2,161210000,True,2022-02-09
36,19,1,151990000,True,2022-06-20
37,20,25,120490000,True,2022-05-11
38,20,37,186000000,True,2022-06-28
39,21,38,197180000,True,2022-01-19
40,21,37,186180000,True,2022-02-18
41,22,17,172900000,True,2022-02-24
42,23,47,194170000,True,2022-03-21
43,24,8,203280000,True,2022-03-22
44,24,23,181450000,True,2022-01-25
45,24,18,181980000,True,2022-05-23
46,25,26,130100000,True,2022-01-26
47,25,47,194090000,True,2022-01-16
48,25,7,194000000,True,2022-01-26
